"","IP.Address","Custom.Data","In.what.SSA.countries.do.you.have.professional.experience....Open.Ended.Response","Which.of.the.following.best.describes.your.professional.affiliation...please.check.only.one.","Which.of.the.following.best.describes.your.professional.affiliation...please.check.only.one....Other..please.specify.","Which.of.the.following.best.describes.your.professional.specialty...please.check.only.one.","Which.of.the.following.best.describes.your.professional.specialty...please.check.only.one....Other..please.specify.","In.your.opinion..which.of.the.following.transport.modes.is.the.most.dangerous.in.rural.Africa....Vulnerable.road.users..pedestrians..bicyclists..pushcarts..animal.carts..etc..","In.your.opinion..which.of.the.following.transport.modes.is.the.most.dangerous.in.rural.Africa....Transport.services..buses.and.minibuses.","In.your.opinion..which.of.the.following.transport.modes.is.the.most.dangerous.in.rural.Africa....Motorcycles..including.motorcycle.taxis.","In.your.opinion..which.of.the.following.transport.modes.is.the.most.dangerous.in.rural.Africa....Comments.","To.the.extent.that.road.conditions.contribute.to.rural.road.crashes.in.Africa..which.of.the.following.issues.need..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Condition.of.travelway..e.g...potholes.and.ruts.that.can.cause.vehicles.to.lose.control.or.encourage.drivers.to.leave.their.travel.lane.to.avoid.hitting","To.the.extent.that.road.conditions.contribute.to.rural.road.crashes.in.Africa..which.of.the.following.issues.need..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Lack.of.adequate.signage..e.g...warning.signs.for.horizontal.curves.or.other.approaching.hazards.","To.the.extent.that.road.conditions.contribute.to.rural.road.crashes.in.Africa..which.of.the.following.issues.need..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Dust.from.unpaved.roads.obscuring.visibility.or.resulting.in.risky.driving.behavior..e.g...overtaking.vehicles.to.avoid.following.along.in.their.dust.","To.the.extent.that.road.conditions.contribute.to.rural.road.crashes.in.Africa..which.of.the.following.issues.need..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Other..please.specify.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Aggressive.driving..speeding..overtaking.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Driving.under.the.influence..alcohol..drugs.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Distracted.driving..texting..talking.on.mobile.phones.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Non.use.of.safety.equipment..seatbelts..helmets..child.restraints.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Poor.driving..education.experience..licensing.regulation.","To.the.extent.that.risky.driving.behaviors.contribute.to.rural.road.crashes..which.of.the.following.potential.causal.factors.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Comments.","To.what.extent.do.you.agree.with.the.following.statements....Rural.road.crashes.disproportionately.impact.women","To.what.extent.do.you.agree.with.the.following.statements....Rural.road.crashes.disproportionately.impact.children","Which.of.the.following.do.you.consider.to.be.the.most.pressing.accessibility.issue.in.rural.Africa....","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Access.to.maternal.pre.natal.care","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Access.to.general.preventitive.care","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Access.to.pediatric.care","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Access.to.disease.chronic.condition.care","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Access.to.emergency.trauma.care","With.regard.to.the.role.transport.plays.in.healthcare.accessibility.in.rural.Africa..please.rank.the.following.issues.according.to.need.for..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention..5...highest.need.....Comments.","With.regard.to.the.role.transport.plays.in.education.accessibility.in.rural.Africa..which.of.the.following.issues.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Safety.education.awareness.for.children.and.parents","With.regard.to.the.role.transport.plays.in.education.accessibility.in.rural.Africa..which.of.the.following.issues.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Provision.of.safer.pedestrian.facilities","With.regard.to.the.role.transport.plays.in.education.accessibility.in.rural.Africa..which.of.the.following.issues.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Provision.of.transport.servcies.for.schoolchildren","With.regard.to.the.role.transport.plays.in.education.accessibility.in.rural.Africa..which.of.the.following.issues.need.immediate..span.style..text.decoration..underline....em..strong.research..strong...em...span..attention....Comments.","With.regard.to.the.role.transport.plays.in.economic.accessibility.in.rural.Africa..which.of.the.following.issues.most.affect..or.are.affected.by..road.safety....Transport.of.agricultural.goods.to.market","With.regard.to.the.role.transport.plays.in.economic.accessibility.in.rural.Africa..which.of.the.following.issues.most.affect..or.are.affected.by..road.safety....Connectivity.to.service.sector.employment.in.nearby.populated.areas","With.regard.to.the.role.transport.plays.in.economic.accessibility.in.rural.Africa..which.of.the.following.issues.most.affect..or.are.affected.by..road.safety....Natural.resource.extraction","With.regard.to.the.role.transport.plays.in.economic.accessibility.in.rural.Africa..which.of.the.following.issues.most.affect..or.are.affected.by..road.safety....Comments.","To.what.extent.do.you.agree.with.the.following.statement...br..br..em.Dust.and.other.air.pollution.from.rural.roads.in.Africa.have.not.received.adequate.attention.from.the.research.and.policy.communities...em....","In.your.opinion..which.of.the.following.groups.are.most.at.risk.due.to.air.pollution.in..em..span.style..text.decoration..underline....strong.rural..strong...span...em..Africa....Individuals.in.the.immediate.roadway.environment..pedestrians..cyclists.","In.your.opinion..which.of.the.following.groups.are.most.at.risk.due.to.air.pollution.in..em..span.style..text.decoration..underline....strong.rural..strong...span...em..Africa....Occupants.of.residences.and.business.operations.close.to.the.roadway....300m.","In.your.opinion..which.of.the.following.groups.are.most.at.risk.due.to.air.pollution.in..em..span.style..text.decoration..underline....strong.rural..strong...span...em..Africa....Vehicle.passengers..cars..buses..minibuses..motorcyclists.","In.your.opinion..which.of.the.following.groups.are.most.at.risk.due.to.air.pollution.in..em..span.style..text.decoration..underline....strong.rural..strong...span...em..Africa....Comments.","Interested.in.answering.one.last.question.","To.what.extent.do.you.think.the.following.play.a.role.in.promoting.stability.in.fragile.and.conflict.affected.regions.in.rural.Africa....Building.rural.roads","To.what.extent.do.you.think.the.following.play.a.role.in.promoting.stability.in.fragile.and.conflict.affected.regions.in.rural.Africa....Provision.of.transport.services","To.what.extent.do.you.think.the.following.play.a.role.in.promoting.stability.in.fragile.and.conflict.affected.regions.in.rural.Africa....Comments.","country","URL","continent"
"1","86.29.172.176",NA,"Tanzania and Zambia","Non-profit or NGO","","Public health","","Least dangerous","Dangerous","Most dangerous","","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","Whether improved road conditions alone are enough to significantly improve road safety standards.","Important - should be addressed within the next 5 years","Very important - requires immediate attention","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Very important - requires immediate attention","","Agree","Strongly Agree","Access to healthcare",4,1,3,2,5,"","","","","","","","","","No opinion","Most vulnerable","Vulnerable","Least vulnerable","","Yes","Indirect relationship ","Strong relationship ","","United Kingdom","http://www.iplocation.net/index.php?query=86.29.172.176","Europe"
"2","77.100.83.59",NA,"Kenya, Botswana, Sierra Leone, Swaziland","Non-profit or NGO","","Other (please specify)","Harvesting water from roads,road drainage design","Least dangerous","Most dangerous","Dangerous","Depends on how this is measured and the implications. Without doubt buses are the most dangerous in terms of the accidents caused by them. In terms of danger per mile covered pedestrians is probably most dangerous followed by bicycles then motorcycles. But pedestrians (unlike buses) are no danger to othe road users","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Unimportant - warrants continued study as opportunities arise","","Important - should be addressed within the next 5 years","Important - should be addressed within the next 5 years","Important - should be addressed within the next 5 years","Important - should be addressed within the next 5 years","Important - should be addressed within the next 5 years","","Agree","Agree","",5,1,2,3,4,"","","","","","","","","","Agree","Most vulnerable","Vulnerable","Least vulnerable","","No","","","","United Kingdom","http://www.iplocation.net/index.php?query=77.100.83.59","Europe"
"3","105.234.140.14",NA,"Malawi","Governmental agency","","Other (please specify)","Engineering","","","Dangerous","","Very important - requires immediate attention","Very important - requires immediate attention","Very important - requires immediate attention","","Unimportant - warrants continued study as opportunities arise","Unimportant - warrants continued study as opportunities arise","Unimportant - warrants continued study as opportunities arise","Unimportant - warrants continued study as opportunities arise","Unimportant - warrants continued study as opportunities arise","","Strongly Disagree","Strongly Disagree","Access to commercial activities",NA,NA,NA,NA,NA,"","","","","","Direct relationship","Direct relationship","Direct relationship","","","","Most vulnerable","Vulnerable","","Yes","","","","Malawi","http://www.iplocation.net/index.php?query=105.234.140.14","Africa"
"4","1.10.201.32",NA,"Anglophone countries","Private consultancy","","Other (please specify)","Engineering","Most dangerous","Least dangerous","Dangerous","","","","","There is a need to reduce speed or divert traffic away from villages, schools and other locations where people gather.","Very important - requires immediate attention","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Very important - requires immediate attention","Very important - requires immediate attention","All of the above apply to all types of roads.  It would be useful to establish the safety issues particular to rural roads (if any).","Neither Disagree Nor Agree","Strongly Agree","Access to healthcare",5,1,4,2,3,"","","","","","","","","","Disagree","Vulnerable","Most vulnerable","Least vulnerable","","Yes","Strong relationship ","Strong relationship ","I firmly believe that the lack of public services, including roads, are the reasons for conflicts.  Research clearly show that road access can facilitate improved security in local communities.  Roads may facilitate development.  Road access is often poor in fragile and conflict-affected areas.  Development initiatives, such as road building, may provide some faith and optimism in the future.  Using labour-based methods, it can also provide immediate employment and income.","Thailand","http://www.iplocation.net/index.php?query=1.10.201.32","Asia"
"5","41.59.45.255",NA,"Tanzania","Governmental agency","","Other (please specify)","Rural travel and transport including to accessibility to health services, water,and environment conservation","Dangerous","","","Most of the rural access roads or paths / tracks are impassable during the rain seasons due to slippery and poor drainage structures.","Very important - requires immediate attention","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","No more comments the ticked above should be put into account in future research.","Strongly Disagree","Strongly Disagree","Access to healthcare",5,4,2,1,3,"The improvement of acess rural roads and paths/tracks will reduce the death cases due poor infrastructures","","","","","","","","","Agree","Most vulnerable","Vulnerable","Least vulnerable","Research on such areas should take place in participatory way","Yes","Strong relationship ","Direct relationship ","","Tanzania, United Republic Of","http://www.iplocation.net/index.php?query=41.59.45.255","Africa"
"6","168.167.134.101",NA,"Botswana","Governmental agency","","Other (please specify)","Lecturer - Highway Engineering","Least dangerous","Most dangerous","Dangerous","Batswana do not use bicycles a lot except a few in the North Eastern part part of the country. Most form of transort in rural areas are animal carts but its safe to use them as there is less motor traffic due to poor roads","Important - should be addressed within the next 5 years","Very important - requires immediate attention","Very important - requires immediate attention","","","Important - should be addressed within the next 5 years","Very important - requires immediate attention","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","","Disagree","Strongly Agree","Access to commercial activities",NA,NA,NA,NA,NA,"","","","","","Strong relationship","Direct relationship","Indirect relationship","","Agree","","Most vulnerable","Vulnerable","","Yes","No opinion","","Our country is very stable so i realy do not have any idea","Botswana","http://www.iplocation.net/index.php?query=168.167.134.101","Africa"
"7","213.55.105.169",NA,"Ethiopia","Private consultancy","","Other (please specify)","gender and economics","Dangerous","Most dangerous","Least dangerous","","Unimportant - warrants continued study as opportunities arise","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","","Very important - requires immediate attention","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Moderately important - should be included in future research plans","Very important - requires immediate attention","","Agree","Agree","Access to healthcare",5,1,2,4,3,"","","","","","","","","","Disagree","","Most vulnerable","","","Yes","Strong relationship ","Strong relationship ","","Ethiopia","http://www.iplocation.net/index.php?query=213.55.105.169","Africa"
"8","213.55.108.220",NA,"ETHIOPIA","Other (please specify)","I was a researcher while I was in Ethiopian Roads Authority (ERA). Currently, I'm working in a private Consultancy Firm.","Other (please specify)","While I was a researcher, I was studying the different elements of roads, environment and safety issues. Now, I'm mainly involved in road pavement, materials and geotechnical issues.","Least dangerous","Most dangerous","Dangerous","","Very important - requires immediate attention","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","While I was a researcher, I have participated in numerous studies regarding how method of construction, construction material, traffic, axle load, terrain, environment etc, will affect the performance of road, riding quality, gravel loss, dust pollution etc.     In the course of this study, I coincidentally, able to notice and infer the negative impacts of dust and riding quality on road crash and accidents despite the rate of accidents and crashes was not substantiated with analytic methods as it was not part of the study.    Thus, in my view, dust from unpaved roads and riding quality (paved & unpaved) plays a major role in road crashes and accidents in Ethiopia.","Very important - requires immediate attention","Very unimportant - has already been adequately addressed or is not a major issue","Unimportant - warrants continued study as opportunities arise","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","","Disagree","Neither Disagree Nor Agree","Access to healthcare",5,1,3,2,4,"","","","","","","","","","Agree","Most vulnerable","Least vulnerable","Vulnerable","","Yes","Strong relationship ","Strong relationship ","I'm living in the volatile horn of Africa Region where Countries like Somalia and South Sudan are leaning towards to fragility which in turn gives me a strong insight to correlate access & transport services have a huge impact on the peace and stability.     In Countries where access is limited, people will be highly isolated and will not have an opportunity to better education, health care, market etc. As a result people will obsessively destined to tribal predicament regardless of common shared values which will be acquired while living together as a state. Moreover, the level of civilization in these areas will remain very poor to the level that the mutual benefits which will be acquired while living in a harmony of a state will not be properly scrutinized.     On the other hand, in limited access,  the state will not have an opportunity to patrol, monitor, and expand peace and security across its borders and will fail to introduce proper government hegemony throughout.  Thus, the state will tend to fall apart and emergence of fragile states will be ensuing.    To overcome these, building of roads complemented by rural transport will be vital. (mandatory not optional).","Ethiopia","http://www.iplocation.net/index.php?query=213.55.108.220","Africa"
"9","197.254.3.233",NA,"Kenya, Tanzania, Sierra Leone, Rwanda, and South Sudan","Other (please specify)","African Development Bank, previously with provate Consultancy","Other (please specify)","Transport Engineer (Roads and Highways)","Least dangerous","Dangerous","Most dangerous","Motorcycles are the most dangerous mode owing to poor skilled riders with little traffic rules and regulations understanding coupled with poor road infrastructure environment, adversely raises traffic crash chances","Very important - requires immediate attention","Moderately important - should be included in future research plans","Very unimportant - has already been adequately addressed or is not a major issue","In my view the most contributor is the road condition, designs are poor (inadequate geometrics or do not conform to the surrounding topography resulting in limited sight distances and/or longer straight and steep sections on single 2-way carriageways leading to head-on collisions); others are inadequate signage (and/or vandalism of signage overtime) and poor riding surface (slippery surfaces when wet), etc","Very important - requires immediate attention","Important - should be addressed within the next 5 years","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","Very important - requires immediate attention","Motorcycle riders are poorly trained and unregulated; motorists over speed carelessly on narrow roadways; there may be a need for speed calming measures in built up centers (townships) to manage speeds to assure safety of non-drivers","Disagree","Agree","Access to healthcare",5,2,4,1,3,"maternal deaths during child births is still high in most of Sub-Saharan Africa mostly because pregnant women cannot access hospitals easily and even children are hardly immunized regularly due to distances from nearest health centers. Improved access will likely impact positively in this area","","","","","","","","","Agree","Vulnerable","Most vulnerable","Least vulnerable","Pollution in rural areas is still less chronic given the general low motorization in rural Africa even though the used-cars available in these areas are more polluting, the impact is largely dispersed in space and time.","Yes","Indirect relationship ","Direct relationship ","Due to positive impact of accessibility to development and generally improved livelihood, there is a good chance that citizens will get engaged in diverse economic activities and consequently view less positively forceful acquisition of power as a means of a massing wealth or improved livelihood. Therefore, enhanced accessibility will contribute to stemming conflicts in Africa and reduce marginalization of remote communities thereby, help in integration of rural economy with national economy.","Kenya","http://www.iplocation.net/index.php?query=197.254.3.233","Africa"
"10","105.184.203.91",NA,"Ghana, Cameroun, Rwanda, Uganda, Kenya, Ethiopia, Tanzania, Malawi, South Africa","Other (please specify)","Non-profit, non academic research and policy advocacy","Other (please specify)","We have no specific speciality on any one of the above. We have a broad mandate covering links between transport and development outcomes.  Road safety and public health (eg, spread of communicable diseases along transport corridors) are of interest to us","Least dangerous","Most dangerous","Dangerous","Public transport has the highest fatality rates.  Motorcycles have high incidences of injuries. Seems to me that vulnerable road users are more of victims rather than culprits from other modes...","Moderately important - should be included in future research plans","Important - should be addressed within the next 5 years","","Bad driving habits. lng working hours accompanied by poor maintenance of motor vehicles overides everything else.","Very important - requires immediate attention","Very important - requires immediate attention","Important - should be addressed within the next 5 years","Important - should be addressed within the next 5 years","Very important - requires immediate attention","","Neither Disagree Nor Agree","Neither Disagree Nor Agree","Access to healthcare",5,3,NA,4,2,"","","","","","","","","","Agree","Vulnerable","Most vulnerable","Least vulnerable","","Yes","Strong relationship ","Direct relationship ","","South Africa","http://www.iplocation.net/index.php?query=105.184.203.91","Africa"
